team_abbrev,lineup,position,player
ATL,1,PG,Trae Young
ATL,1,SG,Kevin Huerter
ATL,1,SF,Tony Snell
ATL,1,PF,John Collins
ATL,1,C,Clint Capela
ATL,2,PG,Trae Young
ATL,2,SG,Kevin Huerter
ATL,2,SF,Tony Snell
ATL,2,PF,Danilo Gallinari
ATL,2,C,John Collins
BKN,1,PG,Kyrie Irving
BKN,1,SG,James Harden
BKN,1,SF,Landry Shamet
BKN,1,PF,Joe Harris
BKN,1,C,DeAndre Jordan
BOS,1,PG,Marcus Smart
BOS,1,SG,Jaylen Brown
BOS,1,SF,Semi Ojeleye
BOS,1,PF,Jayson Tatum
BOS,1,C,Daniel Theis
CHA,1,PG,Terry Rozier
CHA,1,SG,LaMelo Ball
CHA,1,SF,Gordon Hayward
CHA,1,PF,P.J. Washington
CHA,1,C,Cody Zeller
CHI,1,PG,Tomas Satoransky
CHI,1,SG,Patrick Williams
CHI,1,SF,Zach LaVine
CHI,1,PF,Thaddeus Young
CHI,1,C,Lauri Markkanen
CLE,1,PG,Darius Garland
CLE,1,SG,Collin Sexton
CLE,1,SF,Isaac Okoro
CLE,1,PF,Larry Nance Jr.
CLE,1,C,Jarrett Allen
DAL,1,PG,Luka Doncic
DAL,1,SG,Tim Hardaway Jr.
DAL,1,SF,Josh Richardson
DAL,1,PF,Kristaps Porzingis
DAL,1,C,Maxi Kleber
DEN,1,PG,Jamal Murray
DEN,1,SG,Michael Porter Jr.
DEN,1,SF,Will Barton
DEN,1,PF,Paul Millsap
DEN,1,C,Nikola Jokic
DET,1,PG,Frank Jackson
DET,1,SG,Delon Wright
DET,1,SF,Saddiq Bey
DET,1,PF,Jerami Grant
DET,1,C,Mason Plumlee
GSW,1,PG,Stephen Curry
GSW,1,SG,Andrew Wiggins
GSW,1,SF,Kelly Oubre Jr.
GSW,1,PF,Draymond Green
GSW,1,C,Kevon Looney
HOU,1,PG,Kevin Porter Jr.
HOU,1,SG,Sterling Brown
HOU,1,SF,Danuel House Jr.
HOU,1,PF,Jae'Sean Tate
HOU,1,C,Christian Wood
IND,1,PG,Malcolm Brogdon
IND,1,SG,Caris LeVert
IND,1,SF,Justin Holiday
IND,1,PF,Domantas Sabonis
IND,1,C,Myles Turner
LAC,1,PG,Reggie Jackson
LAC,1,SG,Paul George
LAC,1,SF,Kawhi Leonard
LAC,1,PF,Marcus Morris Sr.
LAC,1,C,Ivica Zubac
LAL,1,PG,Dennis Schroder
LAL,1,SG,Kentavious Caldwell-Pope
LAL,1,SF,LeBron James
LAL,1,PF,Markieff Morris
LAL,1,C,Damian Jones
MEM,1,PG,Ja Morant
MEM,1,SG,Grayson Allen
MEM,1,SF,Dillon Brooks
MEM,1,PF,Kyle Anderson
MEM,1,C,Jonas Valanciunas
MIA,1,PG,Kendrick Nunn
MIA,1,SG,Jimmy Butler
MIA,1,SF,Duncan Robinson
MIA,1,PF,Bam Adebayo
MIA,1,C,Kelly Olynyk
MIL,1,PG,Jrue Holiday
MIL,1,SG,Donte DiVincenzo
MIL,1,SF,Khris Middleton
MIL,1,PF,Giannis Antetokounmpo
MIL,1,C,Brook Lopez
MIN,1,PG,Ricky Rubio
MIN,1,SG,Anthony Edwards
MIN,1,SF,Jake Layman
MIN,1,PF,Jarred Vanderbilt
MIN,1,C,Karl-Anthony Towns
NOP,1,PG,Lonzo Ball
NOP,1,SG,Eric Bledsoe
NOP,1,SF,Brandon Ingram
NOP,1,PF,Zion Williamson
NOP,1,C,Steven Adams
NYK,1,PG,Immanuel Quickley
NYK,1,SG,RJ Barrett
NYK,1,SF,Reggie Bullock
NYK,1,PF,Julius Randle
NYK,1,C,Nerlens Noel
OKC,1,PG,Theo Maledon
OKC,1,SG,Shai Gilgeous-Alexander
OKC,1,SF,Isaiah Roby
OKC,1,PF,Aleksej Pokusevski
OKC,1,C,Al Horford
ORL,1,PG,Michael Carter-Williams
ORL,1,SG,Dwayne Bacon
ORL,1,SF,Aaron Gordon
ORL,1,PF,Al-Farouq Aminu
ORL,1,C,Nikola Vucevic
PHI,1,PG,Ben Simmons
PHI,1,SG,Seth Curry
PHI,1,SF,Danny Green
PHI,1,PF,Tobias Harris
PHI,1,C,Tony Bradley
PHX,1,PG,Chris Paul
PHX,1,SG,Devin Booker
PHX,1,SF,Mikal Bridges
PHX,1,PF,Jae Crowder
PHX,1,C,Deandre Ayton
POR,1,PG,Damian Lillard
POR,1,SG,CJ McCollum
POR,1,SF,Derrick Jones Jr.
POR,1,PF,Robert Covington
POR,1,C,Enes Kanter
SAC,1,PG,De'Aaron Fox
SAC,1,SG,Buddy Hield
SAC,1,SF,Tyrese Haliburton
SAC,1,PF,Harrison Barnes
SAC,1,C,Richaun Holmes
SAS,1,PG,Dejounte Murray
SAS,1,SG,Lonnie Walker IV
SAS,1,SF,Derrick White
SAS,1,PF,Keldon Johnson
SAS,1,C,Jakob Poeltl
TOR,1,PG,Kyle Lowry
TOR,1,SG,Fred VanVleet
TOR,1,SF,Norman Powell
TOR,1,PF,Pascal Siakam
TOR,1,C,Chris Boucher
UTA,1,PG,Donovan Mitchell
UTA,1,SG,Joe Ingles
UTA,1,SF,Royce O'Neale
UTA,1,PF,Bojan Bogdanovic
UTA,1,C,Rudy Gobert
WAS,1,PG,Russell Westbrook
WAS,1,SG,Bradley Beal
WAS,1,SF,Garrison Mathews
WAS,1,PF,Rui Hachimura
WAS,1,C,Alex Len